"subnum" "condtion" "blocknum" "blockonset" "blockonset_real" "timepoint_TR" "versions"
"29" "0b" 4 184865 114.002 57 "B"
"29" "2b" 5 225866 155.003 78 "B"
"29" "0b" 6 260867 190.004 95 "B"
"29" "2b" 7 297867 227.004 114 "B"
"29" "0b" 8 333868 263.005 132 "B"
"29" "2b" 9 371868 301.005 151 "B"
"29" "0b" 10 411869 341.006 171 "B"
"29" "2b" 11 452870 382.007 191 "B"
"29" "0b" 12 490870 420.007 210 "B"
"30" "0b" 1 53680 0 1 "A"
"30" "2b" 2 90681 37.001 19 "A"
"30" "0b" 3 125681 72.001 36 "A"
"30" "2b" 4 161682 108.002 54 "A"
"30" "0b" 5 201682 148.002 74 "A"
"30" "2b" 6 242683 189.003 95 "A"
"30" "0b" 7 281684 228.004 114 "A"
"30" "2b" 8 322684 269.004 135 "A"
"30" "0b" 9 362685 309.005 155 "A"
"30" "2b" 10 400686 347.006 174 "A"
"30" "0b" 11 438686 385.006 193 "A"
"30" "2b" 12 473687 420.007 210 "A"
"31" "2b" 1 62028 0 1 "B"
"31" "0b" 2 102029 40.001 20 "B"
"31" "2b" 3 137029 75.001 38 "B"
"31" "0b" 4 176030 114.002 57 "B"
"31" "2b" 5 217031 155.003 78 "B"
"31" "0b" 6 252031 190.003 95 "B"
"31" "2b" 7 293019 230.991 116 "B"
"31" "0b" 8 333019 270.991 136 "B"
"31" "2b" 9 370020 307.992 154 "B"
"31" "0b" 10 406021 343.993 172 "B"
"31" "2b" 11 442021 379.993 190 "B"
"31" "0b" 12 480022 417.994 209 "B"
"32" "0b" 1 62553 0 1 "A"
"32" "2b" 2 98553 36 18 "A"
"32" "0b" 3 134554 72.001 36 "A"
"32" "2b" 4 172555 110.002 55 "A"
"32" "0b" 5 212556 150.003 75 "A"
"32" "2b" 6 247557 185.004 93 "A"
"32" "0b" 7 286558 224.005 112 "A"
"32" "2b" 8 327559 265.006 133 "A"
"32" "0b" 9 365560 303.007 152 "A"
"32" "2b" 10 402560 340.007 170 "A"
"32" "0b" 11 437561 375.008 188 "A"
"32" "2b" 12 478562 416.009 208 "A"
"34" "0b" 1 42774 0 1 "A"
"34" "2b" 2 79774 37 19 "A"
"34" "0b" 3 119775 77.001 39 "A"
"34" "2b" 4 160776 118.002 59 "A"
"34" "0b" 5 198777 156.003 78 "A"
"34" "2b" 6 233778 191.004 96 "A"
"34" "0b" 7 273779 231.005 116 "A"
"34" "2b" 8 314780 272.006 136 "A"
"34" "0b" 9 350781 308.007 154 "A"
"34" "2b" 10 388781 346.007 173 "A"
"34" "0b" 11 423782 381.008 191 "A"
"34" "2b" 12 459770 416.996 209 "A"
"35" "2b" 1 59416 0 1 "B"
"35" "0b" 2 99417 40.001 20 "B"
"35" "2b" 3 135418 76.002 38 "B"
"35" "0b" 4 175406 115.99 58 "B"
"35" "2b" 5 213408 153.992 77 "B"
"35" "0b" 6 252409 192.993 97 "B"
"35" "2b" 7 293410 233.994 117 "B"
"35" "0b" 8 331412 271.996 136 "B"
"35" "2b" 9 366413 306.997 154 "B"
"35" "0b" 10 402414 342.998 172 "B"
"35" "2b" 11 443415 383.999 192 "B"
"35" "0b" 12 478417 419.001 210 "B"
"36" "0b" 1 52640 0 1 "A"
"36" "2b" 2 87629 34.989 18 "A"
"36" "0b" 3 126629 73.989 37 "A"
"36" "2b" 4 167631 114.991 58 "A"
"36" "0b" 5 207632 154.992 78 "A"
"36" "2b" 6 243633 190.993 96 "A"
"36" "0b" 7 278635 225.995 113 "A"
"36" "2b" 8 316636 263.996 132 "A"
"36" "0b" 9 354637 301.997 151 "A"
"36" "2b" 10 391639 338.999 170 "A"
"36" "0b" 11 431640 379 190 "A"
"36" "2b" 12 472641 420.001 210 "A"
"38" "2b" 1 57406 0 1 "B"
"38" "0b" 2 95407 38.001 19 "B"
"38" "2b" 3 130408 73.002 37 "B"
"38" "0b" 4 170410 113.004 57 "B"
"38" "2b" 5 207411 150.005 75 "B"
"38" "0b" 6 242412 185.006 93 "B"
"38" "2b" 7 278414 221.008 111 "B"
"38" "0b" 8 317415 260.009 130 "B"
"38" "2b" 9 355417 298.011 149 "B"
"38" "0b" 10 391418 334.012 167 "B"
"38" "2b" 11 432406 375 188 "B"
"38" "0b" 12 472408 415.002 208 "B"
"39" "0b" 1 52606 0 1 "A"
"39" "2b" 2 89607 37.001 19 "A"
"39" "0b" 3 129609 77.003 39 "A"
"39" "2b" 4 170610 118.004 59 "A"
"39" "0b" 5 206599 153.993 77 "A"
"39" "2b" 6 244600 191.994 96 "A"
"39" "0b" 7 282601 229.995 115 "A"
"39" "2b" 8 317602 264.996 133 "A"
"39" "0b" 9 352604 299.998 150 "A"
"39" "2b" 10 388605 335.999 168 "A"
"39" "0b" 11 427606 375 188 "A"
"39" "2b" 12 468608 416.002 208 "A"
"40" "2b" 1 55071 0 1 "B"
"40" "0b" 2 95072 40.001 20 "B"
"40" "2b" 3 136061 80.99 41 "B"
"40" "0b" 4 172062 116.991 59 "B"
"40" "2b" 5 213063 157.992 79 "B"
"40" "0b" 6 248065 192.994 97 "B"
"40" "2b" 7 285066 229.995 115 "B"
"40" "0b" 8 324067 268.996 135 "B"
"40" "2b" 9 362069 306.998 154 "B"
"40" "0b" 10 402070 346.999 174 "B"
"40" "2b" 11 437072 382.001 191 "B"
"40" "0b" 12 475073 420.002 210 "B"
"41" "0b" 1 49879 0 1 "A"
"41" "2b" 2 86867 36.988 19 "A"
"41" "0b" 3 122867 72.988 37 "A"
"41" "2b" 4 157868 107.989 54 "A"
"41" "0b" 5 197868 147.989 74 "A"
"41" "2b" 6 238869 188.99 95 "A"
"41" "0b" 7 276870 226.991 114 "A"
"41" "2b" 8 314870 264.991 133 "A"
"41" "0b" 9 354871 304.992 153 "A"
"41" "2b" 10 395871 345.992 173 "A"
"41" "0b" 11 430872 380.993 191 "A"
"41" "2b" 12 466873 416.994 209 "A"
"42" "2b" 1 49235 0 1 "B"
"42" "0b" 2 89236 40.001 20 "B"
"42" "2b" 3 126237 77.002 39 "B"
"42" "0b" 4 164237 115.002 58 "B"
"42" "2b" 5 200238 151.003 76 "B"
"42" "0b" 6 235238 186.003 93 "B"
"42" "2b" 7 270239 221.004 111 "B"
"42" "0b" 8 306240 257.005 129 "B"
"42" "2b" 9 347240 298.005 149 "B"
"42" "0b" 10 386241 337.006 169 "B"
"42" "2b" 11 427242 378.007 189 "B"
"42" "0b" 12 467242 418.007 209 "B"
"44" "0b" 1 60322 0 1 "A"
"44" "2b" 2 98322 38 19 "A"
"44" "0b" 3 138324 78.002 39 "A"
"44" "2b" 4 174325 114.003 57 "A"
"44" "0b" 5 212326 152.004 76 "A"
"44" "2b" 6 249328 189.006 95 "A"
"44" "0b" 7 289329 229.007 115 "A"
"44" "2b" 8 324330 264.008 132 "A"
"44" "0b" 9 359331 299.009 150 "A"
"44" "2b" 10 400333 340.011 170 "A"
"44" "0b" 11 439334 379.012 190 "A"
"44" "2b" 12 480322 420 210 "A"
"45" "2b" 1 44368 0 1 "B"
"45" "0b" 2 84370 40.002 20 "B"
"45" "2b" 3 125371 81.003 41 "B"
"45" "0b" 4 161372 117.004 59 "B"
"45" "2b" 5 197374 153.006 77 "B"
"45" "0b" 6 235375 191.007 96 "B"
"45" "2b" 7 276376 232.008 116 "B"
"45" "0b" 8 311377 267.009 134 "B"
"45" "2b" 9 348379 304.011 152 "B"
"45" "0b" 10 387380 343.012 172 "B"
"45" "2b" 11 422368 378 189 "B"
"45" "0b" 12 462369 418.001 209 "B"
"46" "0b" 1 75098 0 1 "A"
"46" "2b" 2 113099 38.001 19 "A"
"46" "0b" 3 153087 77.989 39 "A"
"46" "2b" 4 189089 113.991 57 "A"
"46" "0b" 5 228090 152.992 77 "A"
"46" "2b" 6 269091 193.993 97 "A"
"46" "0b" 7 309093 233.995 117 "A"
"46" "2b" 8 346094 270.996 136 "A"
"46" "0b" 9 382095 306.997 154 "A"
"46" "2b" 10 423097 347.999 174 "A"
"46" "0b" 11 461098 386 193 "A"
"46" "2b" 12 496099 421.001 211 "A"
"47" "2b" 1 71268 0 1 "B"
"47" "0b" 2 109269 38.001 19 "B"
"47" "2b" 3 150270 79.002 40 "B"
"47" "0b" 4 190271 119.003 60 "B"
"47" "2b" 5 228271 157.003 79 "B"
"47" "0b" 6 268272 197.004 99 "B"
"47" "2b" 7 305273 234.005 117 "B"
"47" "0b" 8 340274 269.006 135 "B"
"47" "2b" 9 381274 310.006 155 "B"
"47" "0b" 10 420275 349.007 175 "B"
"47" "2b" 11 455276 384.008 192 "B"
"47" "0b" 12 491276 420.008 210 "B"
"48" "0b" 1 50211 0 1 "A"
"48" "2b" 2 87212 37.001 19 "A"
"48" "0b" 3 127213 77.002 39 "A"
"48" "2b" 4 168214 118.003 59 "A"
"48" "0b" 5 207214 157.003 79 "A"
"48" "2b" 6 248202 197.991 99 "A"
"48" "0b" 7 286202 235.991 118 "A"
"48" "2b" 8 324203 273.992 137 "A"
"48" "0b" 9 359204 308.993 155 "A"
"48" "2b" 10 394205 343.994 172 "A"
"48" "0b" 11 434205 383.994 192 "A"
"48" "2b" 12 470206 419.995 210 "A"
"49" "2b" 1 49293 0 1 "B"
"49" "0b" 2 85293 36 18 "B"
"49" "2b" 3 123294 74.001 37 "B"
"49" "0b" 4 158295 109.002 55 "B"
"49" "2b" 5 199296 150.003 75 "B"
"49" "0b" 6 239296 190.003 95 "B"
"49" "2b" 7 274297 225.004 113 "B"
"49" "0b" 8 313298 264.005 132 "B"
"49" "2b" 9 350286 300.993 151 "B"
"49" "0b" 10 390286 340.993 171 "B"
"49" "2b" 11 426287 376.994 189 "B"
"49" "0b" 12 464287 414.994 208 "B"
"53" "2b" 1 65996 0 1 "B"
"53" "0b" 2 103997 38.001 19 "B"
"53" "2b" 3 144998 79.002 40 "B"
"53" "0b" 4 181000 115.004 58 "B"
"53" "2b" 5 222001 156.005 78 "B"
"53" "0b" 6 260990 194.994 98 "B"
"53" "2b" 7 296991 230.995 116 "B"
"53" "0b" 8 331992 265.996 133 "B"
"53" "2b" 9 369994 303.998 152 "B"
"53" "0b" 10 409995 343.999 172 "B"
"53" "2b" 11 446996 381 191 "B"
"53" "0b" 12 486998 421.002 211 "B"
"54" "0b" 1 51044 0 1 "A"
"54" "2b" 2 86045 35.001 18 "A"
"54" "0b" 3 125047 74.003 37 "A"
"54" "2b" 4 162048 111.004 56 "A"
"54" "0b" 5 197050 146.006 73 "A"
"54" "2b" 6 233051 182.007 91 "A"
"54" "0b" 7 273053 222.009 111 "A"
"54" "2b" 8 314054 263.01 132 "A"
"54" "0b" 9 352042 300.998 151 "A"
"54" "2b" 10 393044 342 171 "A"
"54" "0b" 11 429045 378.001 189 "A"
"54" "2b" 12 467046 416.002 208 "A"
"55" "2b" 1 56484 0 1 "B"
"55" "0b" 2 95485 39.001 20 "B"
"55" "2b" 3 131486 75.002 38 "B"
"55" "0b" 4 171488 115.004 58 "B"
"55" "2b" 5 208489 152.005 76 "B"
"55" "0b" 6 244477 187.993 94 "B"
"55" "2b" 7 282479 225.995 113 "B"
"55" "0b" 8 317480 260.996 131 "B"
"55" "2b" 9 358481 301.997 151 "B"
"55" "0b" 10 398483 341.999 171 "B"
"55" "2b" 11 433484 377 189 "B"
"55" "0b" 12 471486 415.002 208 "B"
"56" "0b" 1 68988 0 1 "A"
"56" "2b" 2 109989 41.001 21 "A"
"56" "0b" 3 145990 77.002 39 "A"
"56" "2b" 4 180991 112.003 56 "A"
"56" "0b" 5 220992 152.004 76 "A"
"56" "2b" 6 261993 193.005 97 "A"
"56" "0b" 7 296994 228.006 114 "A"
"56" "2b" 8 332995 264.007 132 "A"
"56" "0b" 9 371996 303.008 152 "A"
"56" "2b" 10 409984 340.996 171 "A"
"56" "0b" 11 449985 380.997 191 "A"
"56" "2b" 12 486986 417.998 209 "A"
"57" "2b" 1 55085 0 1 "B"
"57" "0b" 2 90086 35.001 18 "B"
"57" "2b" 3 125088 70.003 35 "B"
"57" "0b" 4 164089 109.004 55 "B"
"57" "2b" 5 201090 146.005 73 "B"
